Date : 2025-06-01 15:47:32
Directory : c:\Users\New\Desktop\Personal Diary\frontend
Total : 75 files,  12896 codes, 35 comments, 418 blanks, all 13349 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\Template.jsx                    | JavaScript JSX |         43 |          0 |          7 |         50 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\headers.css                     | PostCSS        |        165 |          0 |         33 |        198 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\sideBar.css                     | PostCSS        |         93 |          0 |         17 |        110 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\sideContent.css                 | PostCSS        |         12 |          0 |          2 |         14 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\components\template\template.css                    | PostCSS        |         50 |          0 |          9 |         59 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\globalStyles\colorStyle.css                         | PostCSS        |         10 |          0 |          0 |         10 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\globalStyles\themeAntd.js                           | JavaScript     |         44 |          0 |          1 |         45 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\index.css                                           | PostCSS        |         20 |          0 |          3 |         23 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\main.jsx                                            | JavaScript JSX |         70 |          6 |          5 |         81 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\createNewPost\CreateNewPost.jsx                | JavaScript JSX |        294 |          0 |         14 |        308 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\editingPageDiary\EditingNewDiary.jsx           | JavaScript JSX |        138 |          0 |         19 |        157 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\errorPage\ErrorPage.jsx                        | JavaScript JSX |         17 |          0 |          2 |         19 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\errorPage\errorPage.css                        | PostCSS        |         32 |          0 |          7 |         39 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\loginPage\LoginPage.jsx                        | JavaScript JSX |        129 |          0 |         10 |        139 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\loginPage\loginStyle.css                       | PostCSS        |          7 |          0 |          1 |          8 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\pagesDiary\PagesDiary.jsx                      | JavaScript JSX |         59 |          0 |         12 |         71 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\pagesDiary\pagesDiary.css                      | PostCSS        |        121 |          0 |         30 |        151 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\passwordRecoveryPage\PasswordRecoveryPage.jsx  | JavaScript JSX |        215 |          0 |         20 |        235 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\passwordRecoveryPage\passwordRecoveryPage.css  | PostCSS        |          6 |          0 |          1 |          7 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\profilePage\ProfilePage.jsx                    | JavaScript JSX |        128 |          0 |          9 |        137 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\profilePage\profilePage.css                    | PostCSS        |         23 |          0 |          6 |         29 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\registrationPage\RegistrationPage.jsx          | JavaScript JSX |        210 |          0 |         16 |        226 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\registrationPage\registrationPage.css          | PostCSS        |         96 |          0 |         21 |        117 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\securityPage\SecurityAdminPage.jsx             | JavaScript JSX |         16 |          0 |          3 |         19 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\securityPage\SecurityPage.jsx                  | JavaScript JSX |         44 |          0 |          7 |         51 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\settingPage\SettingPage.jsx                    | JavaScript JSX |         62 |          5 |          7 |         74 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\settingPage\settingpage.css                    | PostCSS        |         37 |          0 |          3 |         40 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\page\statisticPage\StatisticPage.jsx                | JavaScript JSX |         64 |          0 |         12 |         76 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\axios.js                                      | JavaScript     |          9 |          0 |          3 |         12 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\dataProcessing.js                             | JavaScript     |          6 |          5 |          0 |         11 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\dataTransformer.js                            | JavaScript     |         16 |          0 |          1 |         17 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\dateConvertor.js                              | JavaScript     |         43 |         10 |          5 |         58 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\emotion.js                                    | JavaScript     |         47 |          0 |          0 |         47 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\MarkdownField.tsx                    | TypeScript JSX |         15 |          0 |          1 |         16 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\Pattern.ts                           | TypeScript     |         11 |          0 |          1 |         12 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\Rule.ts                              | TypeScript     |         15 |          0 |          2 |         17 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\markdown\render.ts                            | TypeScript     |         60 |          0 |          4 |         64 |
| c:\Users\New\Desktop\Personal Diary\frontend\src\utils\tagsHelper.js                                 | JavaScript     |          3 |          0 |          0 |          3 |
| c:\Users\New\Desktop\Personal Diary\frontend\vercel.json                                             | JSON           |          1 |          0 |          0 |          1 |
| c:\Users\New\Desktop\Personal Diary\frontend\vite.config.js                                          | JavaScript     |         14 |          1 |          2 |         17 |
| Total                                                                                                |                |     12,896 |         35 |        418 |     13,349 |
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
